	Label	prob_0	prob_1	title	desc
1318	0	0.48750597326239886	0.5124940267376069	senior|merchandis|denim|Non-Denim|jean|urgent|requir|งานจัดซื้อ|งานจัดซื้อ	product|develop|price|communic|product|plan|monitor|critic|path|sampl|product|passion|fashion|denim|product|daili|communic|buyer|supplier|follow|sampl|product|develop|shipment|.|like|handl|.|build|maintain|good|custom|.|knowledg|sourc|sampl|bulk|order|requir|nation|merchandis|.|european|custom|.|knowledg|fabric|style|fit|denim|.|Self-motivated|hardwork|pressur|.|command|spoken|written|english|comput|skill|.|organ|effici|a|posit|attitud|.|keen|discov|learn|travel|oversea|factori|locat|.|interest|a|person|talk|appli|send|current|power|fashion|.|.|ladphrao|ladphrao|road|wangthonglang|tel|02-5381334|fax|02-5381428
1696	0	0.22098816985521658	0.779011830144779	air|export|oper|manag	effect|oper|airfreight|export|depart|includ|book|consol|load|team|.|assist|air|export|manag|provid|oper|inform|.|develop|expand|relationship|communic|carrier|intern|cross|function|sale|team|financ|.|monitor|carrier|perform|servic|.|identifi|root|provid|correct|proactiv|action|custom|intern|parti|concern|irregular|.|recruit|hire|schedul|train|employe|.|alert|custom|servic|custom|sale|team|regul|flight|schedul|weight|restrict|flight|delay|.|support|provid|solut|rate|requir|flight|schedul|altern|custom|sale|requir|.|ensur|carrier|buy|rate|rate|portal|.|femal|bachelor|s|degre|higher|field|.|airfreight|forward|esp|.|air|export|manageri|.|prefer|multin|freight|forward|english|manag|english|panalpina|s|offic|suvarnabhumi|airport|hour|Mon-Fri|.|30-18|.|hrs|.
591	1	0.6173878726133321	0.38261212738666167	sale|engin|มีรถ|คนขับ|ประจำเอกมัย	-|การศึกษา|ปริญญาตรี|ดูแลลูกค้าเก่า
1552	1	0.5516420198826908	0.448357980117308		รับนักศึกษาจบใหม่|แล้ว|มี่จิตอาสา|เดินทาง|บริการลูกค้า|โรงงาน|จบ|วัดคุม|ไฟฟ้า|control|mechatron|-|technic|support-|ร่วม|sales-|ติดตั้ง|ประเมืนราคาหน้างาน|ทดลองเครื่อง|-
801	0	0.3535058690422575	0.6464941309577401	guest|servic|agent|gsa|guest|servic|agent|gsa	-|hotel|servic|apart|-|jave|servic|mind|friend|attitud|-|possess|good|communic|skill|-|demonstr|patienc|polit|stress|situat|.|-|hotel|softwar|system|.|-|night|shift|-|answer|telephon|call|guest|seek|cancel|hotel|reserv|.|-|greet|arriv|guest|assign|room|issu|key|collect|guest|payment|bill|inform|.|-|respons|guest|request|assist|coordin|housekeep|technician|staff|manag|.|-|night|shift
950	1	0.5093467041107078	0.4906532958892847	ช่างบริการหลังการขาย|servic|หลายอัตรา	.|-|.|ปวช|.|-|ปริญญาตรี|ไฟฟ้า|อิเล็คทรอนิกส์|คอมพิวเตอร์|.|มี|การเดินระบบไฟฟ้า|ติดตั้งกล้องวงจรปิดจะ|.|ขับรถยนต์|มีใบอนุญาตขับขี่|.|ไม่จำเป็น|มี|พิจารณานักศึกษาจบใหม่|บริการ|บำรุงรักษา|ตรวจสอบ|ของผลิตภัณฑ์เบื้องต้น|ลูกค้า|วิเคราะห์แก้ไขปัญหาต่าง|คำแนะนำ|ผลิตภัณฑ์กล้องวงจรปิด|ระบบรักษาความปลอดภัยต่าง
1428	1	0.8249260510461474	0.1750739489538513	งานประจำ	ดำเนินการซ่อมเครื่องโทรศํพท์
371	0	0.23932099448185615	0.7606790055181368	เจ้า|ความปลอดภัย|เจ้า	-|-|-|การศึกษา|ปริญญาตรี|-|รับนักศึกษาจบใหม่|-|มี|ขับรถยนต์|จะ|-
1470	1	0.9013365683238682	0.0986634316761327	งานประจำ	รับ
647	1	0.8118864453737268	0.18811355462628246	เจ้า	.|-|.|ปริญญาตรี|วทบ|.|เคมี|-|ศึกษาข้อกำหนดของลูกค้า|ส่วน|สารเคมีอันตราย|-|รวบรวมผลการตรวจสอบหาสารเคมีอันตรายที่อยู่|วัตถุดิบ|ชิ้นส่วนแล้วนำผลการตรวจสอบที่|มาเปรียบเทียบ|ข้อกำหนดของลูกค้า|-|ข้อมูลเกี่ยว|สารเคมีอันตราย|แบบฟอร์มของลูกค้า|ที่ลูกค้าร้องขอ|-|เก็บควบคุม|ข้อมูลการตรวจสอบสารเคมีอันตรายที่|รวบรวมผล|ติด|ปรับปรุงข้อมูล|ทันสมัย
1691	0	0.06852910405634227	0.9314708959436485	logist|analyst	logist|distribut|process|tool|collect|analyz|data|process|assess|process|effici|logist|cost|a|team|member|conduct|cost|perform|monitor|inventori|plan|analysi|transport|perform|analysi|perform|analysi|.|find|solut|improv|statist|analyz|skill|tool|develop|logic|solut|order|agre|intern|custom|requir|improv|product|dc|partner|supervisor|generat|logist|plan|provid|report|metric|indic|a|regular|basi|solut|effect|involv|test|run|warehous|manag|system|system|support|logist|inventori|control|particip|process|improv|team|cost|save|initi|bu|deadlin|provid|requir|metric|interact|bu|repres|phone|email|person|inform|requir|provid|report|feedback|provid|quick|respons|resolv|situat|communic|status|problem|parti|concern|fix|methodolog|approv|manag|director|daili|project|specif|task|assign|supervisor|re|mon|.|-|sat|.|.|.|-05|.|pm|.|23-30|yrs|.|matur|person|ba|higher|degre|logist|suppli|chain|manag|logist|engin|project|manag|busi|administr|field|possess|.|direct|logist|retail|busi|environ|wareh|transport|suppli|chain|logist|concept|requir|knowledg|project|feasibl|analysi|busi|analysi|a|manag|complex|plan|report|process|consist|demonstr|proven|learn|tool|logist|analysi|plan|comput|literaci|ms|word|outlook|powerpoint|advanc|excel|command|written|spoken|english|human|relat|strong|written|oral|communic|skill
1724	0	0.48494228488529384	0.5150577151147118	procur|งานจัดซื้อ|งานจัดซื้อ|งานจัดหา	procur|busi|set-up|automot|manufactur|plant|subaru|ladkrabang|industri|estat|part|procur|direct|materi|sourc|target|cost|achiev|spec|.|price|agreement|-|cost|reduct|secur|qualiti|cost|deliveri|.|indirect|materi|equip|indirect|materi|sourc|po|issu|logist|it|.|bachelor|s|degre|master|s|engin|busi|field|.|automot|purchas|.|communic|skill|.|motiv|individu|effect|balanc|a|larg|load|.|assert|optimist|resili|-|ms|offic|skill|compet|.|command|spoken|written|english|.|welfar|opd|ipd|includ|famili|life|insur|provid|fund|a|.|-|.|pm|.|physic|check|annual|leav|-|manag|possess|bachelor|s|degre|posit|mention|.|person|send|present|photo|current|packag|packag|.|english|is|compulsori|posit|.|tan|chong|subaru|automot|thailand|1-2|soi|chalongkrung|lamplatiew|boangkok|tel|.|ext|.|http
1211	1	0.5151609462143633	0.4848390537856335	staff|q|.|a|q|.|c	การศึกษาปวส|.|หมั่นเพียร|ล่วง|ต่อ|ที่|รับ|ดี|มี|qa|qc|จะ|งานที่|ตรวจสอบ|ขนาดไม้|ขนาดพาเลท
642	0	0.24499551607616438	0.755004483923835	ช่างติดตั้งผ้าม่าน|วอลเปเปอร์|curtain|instal	.|.|.|vocat|certif|electr|electron|construct|.|.|curtain|roller|blind|instal|.|wallpap|.|enthusiast|possess|leadership|skill|.|.|problem|solv|skill|.|.|.|การศึกษา|เน้น|.|มี|ติดตั้งผ้าม่าน|ม่านม้วน|มี|ติดวอลเปเปอร์จะ|.|ผู้นำ|.|แก้ไขปัญหาเฉพาะหน้า|เป็น|function|curtain|instal|รายละเอียดของงาน|บริการติดตั้งผ้าม่าน
